,word,frequency
0,!,1
1,!!Will,1
2,!!Zindagi,1
3,!?In,1
4,!Do,1
5,!United,1
6,"""Easy",1
7,#BeatBobbyFlay,1
8,#Food,1
9,#Foodieincarnate,3
10,#McDelivery,1
11,#McDonalds,1
12,#McDonaldsinIndia,1
13,#MuttonKorma,1
14,#OrderSafelyDon’t,1
15,#QuarantineFoodDelivery,1
16,#QuestlovesPotluck,1
17,#RestaurantImpossible,1
18,#StayHome,1
19,#StayHomeStaySafe,1
20,#StaySafe,1
21,"#TheKitchen,",1
22,#WeCook,3
23,#WithMe,1
24,#WorstCooks,2
25,#asmr,1
26,#asmrfood,1
27,#bamboo,1
28,#biryani,1
29,#chickenkorma,1
30,#dal,1
31,#dilsefoodie,10
32,#eidmubarak,2
33,#food,3
34,#foodie,6
35,#foodieincarnate,6
36,#foodiesofinstagram,2
37,#frankie,2
38,#frankielove,1
39,#frenchtoast,1
40,#guitar,1
41,#homemade,1
42,#howtomakepaneer,1
43,#imlovinit,1
44,#indian,1
45,#indiancuisine,4
46,#indianfood,1
47,#instagram,1
48,#kheerpuda,1
49,#lockdown,1
50,#mumbaifoodie,1
51,#mumbaistreetfood,1
52,#muttoncurry,1
53,#muttonkorma,1
54,#mylockdownburger. Five,1
55,#mylockdownburger▪Follow,1
56,#nagpur,1
57,#odisha,2
58,#paneer,1
59,#pizza,2
60,#pizzalover,1
61,#puri,1
62,#recipe,3
63,#recipes,2
64,#samosa,1
65,#sanjyotkeer,6
66,#stayhome,4
67,#staysafe,4
68,#streetfood,2
69,#sweet,2
70,#tikki,1
71,#virtualiftaar,1
72,#yummy,1
73,&,33
74,(,1
75,(Coorg,1
76,(Dry,1
77,(You,1
78,(curry,1
79,(depend,1
80,(half,1
81,(just,1
82,(mandatory):▪ Video,1
83,(sliced)Green,1
84,(slit,1
85,(the,1
86,(under,1
87,(via,1
88,(water,1
89,(with,1
90,)-100g,1
91,)A,1
92,*Vouchers,1
93,+,2
94,-,12
95,-150ml,1
96,.,3
97,...,1
98,....,1
99,....@bigfatsandwichindia,1
100,...This,1
101,..Order,1
102,..•,1
103,.1),1
104,.Catch,1
